idMunicipio;numero;Departamento;Municipio;NUESTRO TIEMPO;FMLN;NUEVAS IDEAS;PDC;VAMOS;PCN;GANA;CD;ARENA;dpto_desc;muni_desc
135;4;morazan;chilanga;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;Morazán;Chilanga
136;5;morazan;corinto;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;Morazán;Corinto
137;6;morazan;delicias-de-concepcion;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;Morazán;Delicias de Concepción
138;7;morazan;el-divisadero;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;Morazán;El Divisadero
139;8;morazan;el-rosario;;FMLN;;PDC;VAMOS;PCN;GANA;;ARENA;Morazán;El Rosario
140;9;morazan;gualococti;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;Morazán;Gualococti
141;10;morazan;guatajiagua;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;Morazán;Guatajiagua
142;11;morazan;joateca;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;Morazán;Joateca
143;12;morazan;jocoaitique;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;Morazán;Jocoaitique
144;13;morazan;jocoro;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;Morazán;Jocoro
145;14;morazan;lolotiquillo;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;Morazán;Lolotiquillo
146;15;morazan;meanguera;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;Morazán;Meanguera
147;16;morazan;osicala;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;Morazán;Osicala
148;17;morazan;perquin;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;Morazán;Perquín
149;18;morazan;san-carlos;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;Morazán;San Carlos
150;19;morazan;san-fernando;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;Morazán;San Fernando
151;1;morazan;san-francisco-gotera;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;Morazán;San Francisco Gotera
152;20;morazan;san-isidro;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;Morazán;San Isidro
153;21;morazan;san-simon;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;Morazán;San Simón
154;22;morazan;sensembra;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;Morazán;Sensembra
155;23;morazan;sociedad;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;Morazán;Sociedad
156;24;morazan;torola;;FMLN;;PDC;VAMOS;PCN;GANA;;ARENA;Morazán;Torola
157;25;morazan;yamabal;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;Morazán;Yamabal
158;26;morazan;yoloaiquin;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;Morazán;Yoloaiquín
159;2;san-miguel;carolina;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;San Miguel;Carolina
160;3;san-miguel;chapeltique;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;San Miguel;Chapeltique
161;4;san-miguel;chinameca;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;San Miguel;Chinameca
162;5;san-miguel;chirilagua;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;San Miguel;Chirilagua
163;6;san-miguel;ciudad-barrios;;FMLN;N;;VAMOS;PCN;GANA;;ARENA;San Miguel;Ciudad Barrios
164;7;san-miguel;comacaran;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;San Miguel;Comacarán
165;8;san-miguel;el-transito;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;San Miguel;El Tránsito
166;9;san-miguel;lolotique;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;San Miguel;Lolotique
167;10;san-miguel;moncagua;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;San Miguel;Moncagua
168;11;san-miguel;nueva-guadalupe;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;San Miguel;Nueva Guadalupe
169;12;san-miguel;nuevo-eden-de-san-juan;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;San Miguel;Nuevo Edén de San Juan
170;13;san-miguel;quelepa;;FMLN;;PDC;VAMOS;PCN;GANA;;ARENA;San Miguel;Quelepa
171;14;san-miguel;san-antonio;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;San Miguel;San Antonio
172;15;san-miguel;san-gerardo;;FMLN;;PDC;VAMOS;PCN;GANA;;ARENA;San Miguel;San Gerardo
173;16;san-miguel;san-jorge;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;San Miguel;San Jorge
174;17;san-miguel;san-luis-de-la-reina;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;San Miguel;San Luis de la Reina
175;1;san-miguel;san-miguel;NUESTRO TIEMPO;FMLN;;PDC;VAMOS;PCN;;CD;ARENA;San Miguel;San Miguel
176;18;san-miguel;san-rafael-oriente;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;San Miguel;San Rafael Oriente
177;19;san-miguel;sesori;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;San Miguel;Sesori
178;20;san-miguel;uluazapa;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;San Miguel;Uluazapa
179;2;san-salvador;aguilares;NUESTRO TIEMPO;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;San Salvador;Aguilares
180;3;san-salvador;apopa;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;San Salvador;Apopa
181;4;san-salvador;ayutuxtepeque;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;San Salvador;Ayutuxtepeque
182;6;san-salvador;ciudad-delgado;NUESTRO TIEMPO;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;San Salvador;Ciudad Delgado
183;5;san-salvador;cuscatancingo;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;San Salvador;Cuscatancingo
184;7;san-salvador;el-paisnal;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;San Salvador;El Paisnal
185;8;san-salvador;guazapa;;FMLN;;PDC;VAMOS;PCN;GANA;;ARENA;San Salvador;Guazapa
186;9;san-salvador;ilopango;NUESTRO TIEMPO;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;San Salvador;Ilopango
187;10;san-salvador;mejicanos;NUESTRO TIEMPO;FMLN;;PDC;VAMOS;PCN;GANA;;ARENA;San Salvador;Mejicanos
188;11;san-salvador;nejapa;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;San Salvador;Nejapa
189;12;san-salvador;panchimalco;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;San Salvador;Panchimalco
190;13;san-salvador;rosario-de-mora;;FMLN;N;PDC;VAMOS;PCN;GANA;;;San Salvador;Rosario de Mora
191;14;san-salvador;san-marcos;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;San Salvador;San Marcos
192;15;san-salvador;san-martin;;FMLN;;PDC;VAMOS;PCN;;CD;ARENA;San Salvador;San Martín
193;1;san-salvador;san-salvador;NUESTRO TIEMPO;FMLN;;PDC;VAMOS;PCN;;CD;ARENA;San Salvador;San Salvador
